TABL. 36. WA¯NIEJSZE DANE DOTYCZ¥CE HANDLU WEWNÊTRZNEGO W LATACH 2010–2018;;;;;;;;;Spis treœci
;;;;;;;;;
Wyszczególnienie;2010;2012;2013;2014;2015;2016;2017;2018;
Sprzeda¿ detaliczna (ceny sta³e) 2010=100;100;103,7;105;109,1;115;122,1;128,8;134,7;
Sprzeda¿ detaliczna ogó³em w mln z³ (ceny bie¿¹ce);592958,4;675992,6;685658,7;704841,5;721998,5;754964,4;810233,6;862066,3;
Sprzeda¿ detaliczna w punktach sprzeda¿y detaliczneja ;;;;;;;;;
w mln z³ (ceny bie¿¹ce);571893,2;651705,4;659981,8;677062,6;691056,9;719820,8;771654,4;819498,3;
w tym:;;;;;;;;;
¿ywnoœæ i napoje bezalkoholowe ;156013,2;166157,8;166490,1;165824,2;165160,9;172262,8;180359,2;185409,2;
napoje alkoholowe i wyroby tytoniowe;53763,3;56153,6;54637,4;54528,1;54781,9;57495,2;58910,3;61973,7;
towary  nie¿ywnoœcioweb (bez wyr. tytoniowych);362116,7;429394;438854,3;456710,2;471114,2;490062,8;532384,9;572115,4;
Sprzeda¿  hurtowa ogó³em w mln z³ (ceny bie¿¹ce) ;846490,2;980452,1;1010623,7;1018250,2;1068831,1;1136354,5;1286638;1417614,9;
Powierzchnia sprzeda¿owa sklepów w tys. m?;31769,2;33694,5;33817,8;34964,4;36188,7;37094,1;37256,6;37312,6;
w tym:;;;;;;;;;
domy towarowe ;312,9;302,1;320,1;330,9;376,6;338,5;415,6;406;
domy handlowe ;302;251,9;239,5;227,6;218,6;182,2;198,5;196,5;
supermarkety ;3627,9;4386,7;4697,6;4960,4;5258,1;5333,2;5531,4;5719,9;
hipermarkety;3793,9;3688,2;3800,2;3802,6;3765,6;3709;3541;3570,6;
Liczba sklepów ogó³em;346058;357289;353562;354775;360750;367011;355043;339880;
w tym:;;;;;;;;;
domy towarowe;67;64;64;66;70;54;75;73;
domy handlowe ;303;246;227;217;205;177;182;177;
supermarkety ;4461;5468;6210;6509;6903;7042;7317;7659;
hipermarkety ;562;572;592;593;589;586;564;570;
stacje paliw;9603;9481;9053;8905;8991;9099;9326;9340;
Liczba ludnoœci na 1 sklep;111;108;109;108;107;105;108;113;
Liczba placówek gastronomicznych ;70483;68787;66966;66345;68342;69414;70108;69829;
w tym:;;;;;;;;;
restauracje;14937;16478;16202;17414;18789;19648;20127;19675;
bary ;27145;25885;24931;23514;22290;20926;19410;19317;
sto³ówki ;4509;4304;4072;3924;4183;4356;4221;4174;
punkty gastronomiczne;23892;22120;21761;21493;23080;24484;26350;26663;
Przychody z dzia³alnoœci gastronomicznej w mln z³ ;;;;;;;;;
(ceny bie¿¹ce);21682,8;24868,3;26174,2;28272,8;31387,1;35666,1;39140,5;43166,7;
Liczba targowisk ogó³em ;9148;8721;8667;8939;8990;9137;9367;9283;
Liczba targowisk sta³ych;2235;2215;2207;2210;2222;2199;2173;2156;
Liczba targowisk sezonowych;6913;6506;6460;6729;6768;6938;7194;7127;
Powierzchnia sk³adowa magazynów zamkniêtychc;–;26229;–;–;23956;–;–;27947;
Powierzchnia sk³adowa magazynów zadaszonychc ;–;3743;–;–;3289;–;–;3091;
Powierzchnia sk³adowa placów sk³adowychc;–;14671;–;–;14206;–;–;15011;
;;;;;;;;;
a   £¹cznie ze sprzeda¿¹ detaliczn¹ dokonywan¹ w hurtowniach i u producentów.;;;;;;;;;
b   Konsumpcyjne i niekonsumpcyjne.;;;;;;;;;
"c   Hurtu i rozdzielcze detalu; dane w tys. m2; dotycz¹ podmiotów gospodarczych o liczbie pracuj¹cych powy¿ej 9 osób prowadzacych dzia³alnoœæ ";;;;;;;;;
    hurtow¹.;;;;;;;;;
